id_pohon,gps_long,gps_lat,status_kesehatan
pohon_1,106.71642944428814,-6.55027202645559,1
pohon_2,106.71675736306409,-6.550874715536657,1
pohon_3,106.71653906450327,-6.550929737080314,1
pohon_4,106.71676889052583,-6.550962171283944,1
pohon_5,106.71699420082443,-6.551315826300456,1
pohon_6,106.71647449495934,-6.551133255480809,1
pohon_7,106.7164113037747,-6.550576684009538,1
pohon_8,106.71645473023786,-6.550962777640676,1
pohon_9,106.7168448051275,-6.550929627358846,0
pohon_10,106.7169999737721,-6.551635842310132,1
