sensor_id,temperature,kelembapan,pH,gps_lat,gps_long,timestamp,status_prediksi
SENSOR001,1023.75,8,3.61,-6.551727090562029,106.7166565303066,2025-06-16T20:39:02.000Z,Tidak Sehat
SENSOR001,1023.75,0,7.8,-6.551625680049829,106.7169551485463,2025-06-16T20:39:06.000Z,Tidak Sehat
SENSOR001,1023.75,0,7.8,-6.551588138439603,106.71692199146908,2025-06-16T20:39:07.000Z,Tidak Sehat
SENSOR001,1023.75,0,7.8,-6.551391121263676,106.71673166452776,2025-06-16T20:39:07.000Z,Tidak Sehat
SENSOR001,1023.75,0,7.8,-6.551092468453548,106.7169323526018,2025-06-16T20:39:09.000Z ,Tidak Sehat
SENSOR001,1023.75,0,7.8,-6.551019666633112,106.71666338061684,2025-06-16T20:39:10.000Z ,Tidak Sehat
SENSOR001,1023.75,0,7.8,-6.551185952590698,106.7170106292768,2025-06-16T20:39:11.000Z ,Tidak Sehat
SENSOR001,1023.75,0,7.8,-6.550912118471838,106.71667503884524,2025-06-16T20:39:11.000Z,Tidak Sehat
SENSOR001,1023.75,0,7.8,-6.551127214771207,106.71659093305468,2025-06-16T20:39:12.000Z,Tidak Sehat
SENSOR001,1023.75,0,7.8,-6.551771354073334,106.71685878805548,2025-06-16T20:39:13.000Z,Tidak Sehat
