id_pohon,gps_lat,gps_long,status_akhir
pohon_1,-6.550671373578656,106.71642823617644,1
pohon_2,-6.550759100765217,106.71683930961014,1
pohon_3,-6.551426258869497,106.71685422289524,1
pohon_4,-6.551126896622807,106.71662371794002,1
pohon_5,-6.550802595214225,106.71636599263992,1
pohon_6,-6.55057903702122,106.71640733508184,1
pohon_7,-6.550178429444364,106.71677720542236,1
pohon_8,-6.550412743721792,106.7163953043009,1
pohon_9,-6.551130670925512,106.71647776108618,1
pohon_10,-6.550233899139044,106.7163593702407,1
pohon_11,-6.550916831054688,106.71668732933036,1
pohon_12,-6.551082911972204,106.7166930435378,1
pohon_13,-6.550308339301033,106.71696174890874,1
pohon_14,-6.551008935945235,106.71684437453352,1
pohon_15,-6.550877990718568,106.71675737426231,1
pohon_16,-6.550251405238084,106.71657627900954,1
pohon_17,-6.551092675020787,106.71684816975748,1
pohon_18,-6.55096253010232,106.7164587061307,1
pohon_19,-6.551925705030352,106.71672469825126,1
pohon_20,-6.551544612964018,106.7167921693665,1
pohon_21,-6.551128498934257,106.71677086279423,1
pohon_22,-6.550961941342141,106.71676772011068,1
pohon_23,-6.550997300556181,106.71668947586411,1
pohon_24,-6.550587258567967,106.71667123130982,1
pohon_25,-6.55027690564139,106.71643928583735,1
pohon_26,-6.551214595917523,106.71663243911811,1
pohon_27,-6.551337876364036,106.7165664256445,1
pohon_28,-6.550624929175722,106.71660118240392,1
pohon_29,-6.551253180637073,106.71670555593414,0
pohon_30,-6.550154601409648,106.71669875894482,1
pohon_31,-6.550334789173061,106.71682078228132,1
pohon_32,-6.551836827358567,106.71658169933733,1
pohon_33,-6.550332249054652,106.71660579606,1
pohon_34,-6.551962443125156,106.71665371029668,1
pohon_35,-6.551255549723687,106.71656006209808,1
pohon_36,-6.551503470913043,106.71671436523329,1
pohon_37,-6.550669279207024,106.71683549360765,0
pohon_38,-6.551045788517456,106.71646624245923,1
pohon_39,-6.550414725194525,106.71684210887872,1
pohon_40,-6.550368742327481,106.71646954222368,1
pohon_41,-6.55117502804679,106.71684681387742,1
pohon_42,-6.5508844641816655,106.7169166998284,1
pohon_43,-6.550244858867672,106.7167119334038,1
pohon_44,-6.550799551400795,106.71691407021892,1
pohon_45,-6.551516769764245,106.71693009051776,1
pohon_46,-6.550878030774286,106.71660883154122,1
pohon_47,-6.551644515749797,106.71699485706156,1
pohon_48,-6.551043862560294,106.7166189894584,1
pohon_49,-6.551669550222464,106.71672054735365,1
pohon_50,-6.551677066859546,106.7165748370727,0
pohon_51,-6.5507461345213365,106.71652627269016,1
pohon_52,-6.550832633685638,106.7166807254662,1
pohon_53,-6.551589343566721,106.71657313357645,1
pohon_54,-6.550756561874788,106.71628185594136,1
pohon_55,-6.551340432041839,106.71670842745336,1
pohon_56,-6.551381365759502,106.71677874521367,1
pohon_57,-6.550461389600753,106.71646798751566,1
pohon_58,-6.551835630329718,106.71672649556896,1
pohon_59,-6.5514211242824,106.71671384973575,1
pohon_60,-6.5508340829635,106.71653055009,1
pohon_61,-6.551170405384974,106.71655672996076,1
pohon_62,-6.550970311128127,106.71691980048848,1
pohon_63,-6.550794992710291,106.71660527269007,1
pohon_64,-6.551501396730899,106.71656838828156,1
pohon_65,-6.5509243692212005,106.7165353033393,1
pohon_66,-6.551875867144893,106.7166585606303,1
pohon_67,-6.550873880631954,106.71645419241403,1
pohon_68,-6.550960820498225,106.71661660021262,1
pohon_69,-6.551166175172511,106.7166991763724,1
pohon_70,-6.551922431576003,106.7165873723478,1
pohon_71,-6.551712819471843,106.71665519598996,1
pohon_72,-6.551606134631194,106.7169306300562,1
pohon_73,-6.550636123882049,106.716200739908,1
pohon_74,-6.550121931103982,106.71640109411834,1
pohon_75,-6.551756600596756,106.716576980424,1
pohon_76,-6.550211674760871,106.71663298708064,1
pohon_77,-6.551546527013984,106.71664293107996,1
pohon_78,-6.551295988290989,106.71677517831009,1
pohon_79,-6.550629555992601,106.71634271035606,1
pohon_80,-6.550924962127513,106.71684081243755,1
pohon_81,-6.550521313258572,106.71611590033962,1
pohon_82,-6.550708877364112,106.71674907650343,1
pohon_83,-6.550354869315213,106.7169006195286,1
pohon_84,-6.551717495771758,106.71679276055468,1
pohon_85,-6.551794687820891,106.7166587508957,1
pohon_86,-6.551585334460171,106.71671932367823,1
pohon_87,-6.551462779930738,106.7166414750997,1
pohon_88,-6.551467446652119,106.71678184667554,1
pohon_89,-6.551131234907904,106.71692853817818,0
pohon_90,-6.55100504867568,106.71654446834206,1
pohon_91,-6.55049672076358,106.7163979306056,1
pohon_92,-6.550674225618642,106.7162782995487,1
pohon_93,-6.5516276807401,106.71665022634976,1
pohon_94,-6.551398371655671,106.71700500978538,1
pohon_95,-6.55134415018646,106.71685253856208,1
pohon_96,-6.550713111556092,106.71660546060996,1
pohon_97,-6.550256028455687,106.71679782223384,1
pohon_98,-6.550716820151834,106.71620499245802,1
pohon_99,-6.551380659238869,106.71664329964848,1
pohon_100,-6.550748882601886,106.71668043912764,1
pohon_101,-6.551315348816163,106.71699700630263,1
pohon_102,-6.551220405037599,106.71691761466344,1
pohon_103,-6.55071741871823,106.71691940359251,1
pohon_104,-6.550541150051996,106.71633539040266,1
pohon_105,-6.551386726271965,106.7169214583902,1
pohon_106,-6.551042889922368,106.71676659333582,1
pohon_107,-6.5512613340781725,106.71685248929536,1
pohon_108,-6.551753049759179,106.71672597925496,1
pohon_109,-6.550852444352396,106.71629200856422,1
pohon_110,-6.550285215527314,106.71688260303944,1
pohon_111,-6.550589792683716,106.71627216281183,1
pohon_112,-6.55129644667164,106.71664114030644,1
