SENSOR001,1023.75,0,0.1,0,-1,1970-01-01T00:00:00.000Z
SENSOR001,1023.75,0,0.1,0,-1,1970-01-01T00:00:00.000Z
SENSOR001,1023.75,0,0.1,0,-1,1970-01-01T00:00:00.000Z
SENSOR001,1023.75,0,0.11,0,-1,1970-01-01T00:00:00.000Z
SENSOR001,1023.75,0,0.11,0,-1,1970-01-01T00:00:00.000Z
SENSOR001,1023.75,0,0.11,0,-1,2025-06-27T07:38:28.000Z
SENSOR001,1023.75,0,0.06,0,-1,2025-06-27T07:46:26.000Z
SENSOR001,1023.75,0,0.11,0,-1,2025-06-27T07:46:28.000Z
SENSOR001,1023.75,0,0.16,0,-1,2025-06-27T07:46:30.000Z
SENSOR001,1023.75,0,0.21,0,-1,2025-06-27T07:46:31.000Z
SENSOR001,1023.75,0,0.26,0,-1,2025-06-27T07:46:31.000Z
SENSOR001,1023.75,0,0.31,0,-1,2025-06-27T07:46:32.000Z
SENSOR001,1023.75,0,0.36,0,-1,2025-06-27T07:46:33.000Z
SENSOR001,1023.75,0,0.41,0,-1,2025-06-27T07:46:33.000Z
SENSOR001,1023.75,0,0.45,0,-1,2025-06-27T07:46:34.000Z
SENSOR001,1023.75,0,0.49,0,-1,2025-06-27T07:46:35.000Z
SENSOR001,1023.75,0,0.54,0,-1,2025-06-27T07:46:35.000Z
SENSOR001,1023.75,0,0.59,0,-1,2025-06-27T07:46:36.000Z
SENSOR001,1023.75,0,0.64,0,-1,2025-06-27T07:46:37.000Z
SENSOR001,1023.75,0,0.68,0,-1,2025-06-27T07:46:37.000Z
SENSOR001,1023.75,0,0.73,0,-1,2025-06-27T07:46:38.000Z
SENSOR001,1023.75,0,0.71,0,-1,2025-06-27T07:46:38.000Z
SENSOR001,1023.75,0,0.7,0,-1,2025-06-27T07:46:38.000Z
SENSOR001,1023.75,0,0.7,0,-1,2025-06-27T07:46:39.000Z
SENSOR001,1023.75,0,0.69,0,-1,2025-06-27T07:46:40.000Z
SENSOR001,1023.75,0,0.68,0,-1,2025-06-27T07:46:40.000Z
SENSOR001,1023.75,0,0.65,0,-1,2025-06-27T07:46:41.000Z
SENSOR001,1023.75,0,0.65,0,-1,2025-06-27T07:46:42.000Z
SENSOR001,1023.75,0,0.98,0,-1,2025-06-27T07:47:14.000Z
SENSOR001,1023.75,0,1.32,0,-1,2025-06-27T07:47:15.000Z
SENSOR001,1023.75,0,1.64,0,-1,2025-06-27T07:47:16.000Z
SENSOR001,1023.75,0,1.97,0,-1,2025-06-27T07:47:16.000Z
SENSOR001,1023.75,0,2.29,0,-1,2025-06-27T07:47:17.000Z
SENSOR001,1023.75,0,2.59,0,-1,2025-06-27T07:47:17.000Z
SENSOR001,1023.75,0,2.92,0,-1,2025-06-27T07:47:20.000Z
SENSOR001,1023.75,0,3.15,0,-1,2025-06-27T07:47:25.000Z
SENSOR001,1023.75,0,3.47,0,-1,2025-06-27T07:47:27.000Z
SENSOR001,1023.75,0,3.76,0,-1,2025-06-27T07:47:27.000Z
SENSOR001,1023.75,0,4.08,0,-1,2025-06-27T07:47:28.000Z
SENSOR001,1023.75,0,4.4,0,-1,2025-06-27T07:47:28.000Z
SENSOR001,1023.75,0,4.73,0,-1,2025-06-27T07:47:29.000Z
